Name,Description,Category,Link,OCost,BCost,Status
Tesla Dash,S3XY Dash,Tesla,https://www.enhauto.com/products/s3xy-dash-standalone-no-cable?variant=41894162137163,394,,Interested
Lego Smart Play,Luke's Red Five X-Wing,Gift,https://www.lego.com/en-us/product/smart-play-lukes-red-five-x-wing-75423,90,90,Bought
Apple Security Doorbell,,Home,,,,Interested
Apple Homepad,,Home,,,,Interested
Ryobi Blower,Ryobi RY18BLCXA-0,Tesla,https://www.amazon.com/dp/B0DHCSLLNC/?coliid=I1KEPN9ODVE5ER&colid=2TIED4D10MHS6&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,150,110,Interested
Tesla USB,MATT3R USB,Tesla,https://matt3r.ai/products/k3y-for-tesla-all-models,199,,Interested
Test Expense,Test,Fun,,200,100,Bought
